涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例%,内盘,外盘,内外比,主力净量,量比,净利润？,市净率,每股盈利,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,机构动向,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量
0.0073,12.37,0.09,12.36,12.37,15865370,195717550,5000,0.0024,0.0065,0.28,0.0396,-6.36,6403166500,4955423800,0.7739,7702075,8163295,0.944,0.13,0.77,-14000000,3.25,-0.01,12.28,12.29,0.0008,12.43,12.19,-0.0898,-0.1043,0.1434,-0.1916,0.0195,33600,14400,15390,6.52,517636750,400600140,-1.34E+15,-1.486,3.81,2,-43.75
-0.0157,12.52,-0.2,12.51,12.52,8468937,106369045,3200,0,-0.0103,-0.31,0.0037,84.87,32735969000,28641840000,0.8749,5349204,3119733,1.71,-0.04,1.07,-38586477,4.29,-0.015,12.72,12.65,-0.0055,12.69,12.48,-0.0126,0.0097,-0.0572,-0.1226,0.0165,82400,600,9863,-13.7,2614694000,2287686900,-4.42E+15,-1.291,2.92,0,4.13
-0.0373,26.62,-1.03,26.62,26.63,4491206,121128554,400,0.0008,-0.0309,-1.27,0.0469,38.14,4126100000,2547866800,0.6175,2740700,1750506,1.57,0.03,2.01,-22400000,6.67,-0.11,27.65,27.47,-0.0065,27.64,26.55,-0.0352,-0.0696,-0.2899,0.1779,0.0394,4000,1300,8490,1.27,155000000,95712500,-1.78E+15,-0.7215,3.99,0,5.53
-0.0579,3.58,-0.22,3.57,3.58,70684014,256527360,1900,0,-0.0453,-1.3,0.0953,57.46,3108602200,2655256600,0.8542,43560490,27123524,1.61,-1.25,2.93,-42818516,56.74,-0.049,3.8,3.75,-0.0132,3.78,3.55,-0.0428,-0.0402,-0.116,-0.1456,0.0605,912700,142100,34060,-28.36,868324650,741691780,-4.32E+15,0.0396,0.06,2,204.26
0.047,16.05,0.72,16.04,16.05,33879919,552572080,3400,-0.0037,0.0094,-1.69,0.2394,74.26,3851866000,2271145500,0.5896,15243553,18636366,0.818,-4.16,5.6,4578814,1.77,0.02,15.33,15.9,0.0372,16.86,15.82,0.2215,0.1933,0.2442,0.1031,0.0678,5100,7400,41370,-34.13,239991650,141504390,3.60E+14,-0.4988,9.06,1,613.47
0.0817,20.4,1.54,20.4,20.41,5249993,104539528,10200,0.002,0.0817,2.59,0.0228,-63.82,4689700000,4689700000,1,1844143,3405850,0.542,0.03,2.27,74500000,5.45,0.14,18.86,18.86,0,20.46,18.7,0.1088,0.0659,0.101,0.5902,0.0933,3500,2300,11232,3.54,230000000,230000000,3.75E+15,0.4614,3.74,6,-6.1
-0.0143,7.58,-0.11,7.58,7.59,4101105,31233137,2000,0,-0.013,-0.47,0.0032,38.9,9568645600,9568645600,1,2653795,1447310,1.83,-0.01,1.25,378263650,1.09,0.3,7.69,7.68,-0.0013,7.68,7.56,0.0013,0.0285,-0.0245,-0.0447,0.0156,43400,54700,7425,-8.16,1262354300,1262354300,5.55E+16,0.0401,6.98,1,-0.88
0.0499,89.85,4.27,89.65,89.85,3347972,294131030,3100,-0.0017,0.0548,2.33,0.0482,-21.52,8980000000,6245579000,0.6951,1543950,1804022,0.856,0.04,1.59,18324726,9.44,0.18,85.58,85.18,-0.0047,90.1,85.12,0.0801,0.1523,0.2942,0.1244,0.0582,600,1100,11597,1.41,100000000,69511174,2.06E+15,-0.4043,9.51,2,-8.31
0.0117,31.91,0.37,31.91,31.99,1757574,56440460,100,-0.0003,-0.0025,-0.64,0.0458,23.08,3063369600,1225353570,0.4,909020,848554,1.07,0.13,4.83,27161333,2.71,0.283,31.54,31.99,0.0143,32.63,31.29,0.0003,0.0284,0.035,-0.5037,0.0425,2000,1000,5424,15.71,96000300,38400300,3.07E+15,-0.0295,11.78,3,-67.51
-0.0109,14.5,-0.16,14.5,14.51,592250,8588384,2100,-0.0007,-0.0082,-0.01,0.0134,71.67,2163472500,640972500,0.2963,357100,235150,1.52,0.15,1.09,7446722,2.66,0.05,14.66,14.62,-0.0027,14.7,14.44,-0.0082,0.0083,-0.056,-0.4257,0.0177,12400,8100,1258,67.29,149205000,44205000,7.51E+14,0.0118,5.45,1,-21.3
-0.0046,15.13,-0.07,15.13,15.15,1558140,23512727,600,-0.0013,-0.0046,0.26,0.0238,39.4,2178720000,989138880,0.454,812180,745960,1.09,-0.09,0.59,5338501,3.31,0.037,15.2,15.2,0,15.27,14.92,-0.0282,0.0543,0.076,-0.2546,0.023,4500,90,3933,-16.87,144000000,65376000,5.48E+14,-0.7519,4.58,1,18.18
0.0072,11.12,0.08,11.12,11.13,2438000,27251618,100,-0.0009,0.0072,-0.52,0.0096,62.13,3034726900,2837173600,0.9349,1151650,1286350,0.895,0.06,1.56,17728313,1.63,0.06,11.04,11.04,0,11.34,10.96,0.0335,0.0744,0.0344,-0.232,0.0344,900,1200,4332,12.29,272907100,255141510,1.90E+15,0.3218,6.83,0,-11.03
-0.0079,7.52,-0.06,7.52,7.53,2907721,21856682,100,0,-0.0053,0.04,0.0079,35.1,3324593700,2757751400,0.8295,1867250,1040471,1.79,0.01,1.09,23651276,2.27,0.057,7.58,7.56,-0.0026,7.6,7.48,-0.0221,0.0217,0.0053,-0.1404,0.0158,18400,16000,4219,2.99,442100220,366722270,2.89E+15,0.0626,3.31,2,-1.88
-0.0048,8.33,-0.04,8.32,8.33,1070450,8869812,2700,0.0012,-0.0036,0.52,0.0046,16.98,1955468600,1950919900,0.9977,671750,398700,1.68,-0.02,0.62,11614749,2.56,0.05,8.37,8.36,-0.0012,8.37,8.25,-0.048,0,0.0611,0.0024,0.0143,100,9700,2451,-100,234750130,234204070,1.27E+15,-0.1829,3.25,1,1.86
0,6.05,0,6.05,6.06,7837411,46966932,300,0.0033,0.0083,0.95,0.0138,-24.03,4148854700,3437051400,0.8284,4107481,3729930,1.1,-0.05,0.58,-3629959,1.94,-0.005,6.05,6,-0.0083,6.06,5.93,-0.0242,0.098,0.094,-0.238,0.0215,78970,36200,8717,-10.02,685761100,568107670,-5.43E+14,-1.247,3.12,0,9.5
0.0085,15.42,0.13,15.42,15.43,11468540,177462770,100,-0.0019,0.0085,-0.35,0.0355,-24.29,5083974100,4982116100,0.98,5443947,6024593,0.904,-0.1,1.88,-7787043,2.04,-0.024,15.29,15.29,0,15.7,15.19,0.0844,0.0967,0.0232,-0.3115,0.0334,2800,4900,15793,-6.2,329700010,323094430,-1.13E+15,-3.325,7.57,1,17.98
0.0045,8.97,0.04,8.96,8.97,7498919,66958580,3700,0.0011,0.0045,0.46,0.0127,-41.47,6675196500,5287656900,0.7921,3583988,3914931,0.916,-0.11,0.72,82083888,2.78,0.11,8.93,8.93,0,9,8.87,-0.0355,0.0056,0.0504,-0.0518,0.0146,11000,7600,12133,-22.48,744169070,589482370,1.06E+16,13.83,3.23,1,15.73
-0.0168,6.44,-0.11,6.44,6.45,1829600,11795218,200,0,-0.0108,-0.11,0.0082,36.52,1950070800,1438105700,0.7375,1132050,697550,1.62,-0.13,0.95,-12587529,2.65,-0.042,6.55,6.51,-0.0061,6.55,6.42,-0.0271,0.0016,0.0287,0.0094,0.0198,15900,200,3623,-59.03,302806030,223308340,-1.45E+15,-0.6738,2.43,2,11.31
0.0302,11.95,0.35,11.94,11.95,6302200,74348791,0,0.0034,0.0355,1.32,0.0151,-33.99,5464986200,4981627000,0.9116,2880000,3422200,0.842,0.1,1.18,26407428,4.43,0.058,11.6,11.54,-0.0052,12.03,11.52,-0.0205,0.1371,0.0205,0.4597,0.044,7400,13600,15246,21.42,457321020,416872550,4.05E+15,10.36,2.7,4,-19.83
0.0078,76.7,0.59,76.69,76.7,1875630,142570620,100,0.0012,0.0119,0.9,0.0037,72.48,39757445000,39096179000,0.9834,960561,915069,1.05,0,0.86,505581320,9.02,0.975,76.11,75.8,-0.0041,77.2,74.79,0.0204,0.1085,0.0772,-0.0921,0.0317,100,300,7474,1.37,518350000,509728540,5.77E+16,0.1648,8.5,1,5.91
